Year,Country Code,Value,Variable
1980,AFG,,"Gross domestic product per capita, constant prices"
1981,AFG,,"Gross domestic product per capita, constant prices"
1982,AFG,,"Gross domestic product per capita, constant prices"
1983,AFG,,"Gross domestic product per capita, constant prices"
1984,AFG,,"Gross domestic product per capita, constant prices"
1985,AFG,,"Gross domestic product per capita, constant prices"
1986,AFG,,"Gross domestic product per capita, constant prices"
1987,AFG,,"Gross domestic product per capita, constant prices"
1988,AFG,,"Gross domestic product per capita, constant prices"
1989,AFG,,"Gross domestic product per capita, constant prices"
1990,AFG,,"Gross domestic product per capita, constant prices"
1991,AFG,,"Gross domestic product per capita, constant prices"
1992,AFG,,"Gross domestic product per capita, constant prices"
1993,AFG,,"Gross domestic product per capita, constant prices"
1994,AFG,,"Gross domestic product per capita, constant prices"
1995,AFG,,"Gross domestic product per capita, constant prices"
1996,AFG,,"Gross domestic product per capita, constant prices"
1997,AFG,,"Gross domestic product per capita, constant prices"
1998,AFG,,"Gross domestic product per capita, constant prices"
1999,AFG,,"Gross domestic product per capita, constant prices"
2000,AFG,,"Gross domestic product per capita, constant prices"
2001,AFG,,"Gross domestic product per capita, constant prices"
2002,AFG,1442.769,"Gross domestic product per capita, constant prices"
2003,AFG,1506.218,"Gross domestic product per capita, constant prices"
2004,AFG,1459.345,"Gross domestic product per capita, constant prices"
2005,AFG,1576.698,"Gross domestic product per capita, constant prices"
2006,AFG,1611.291,"Gross domestic product per capita, constant prices"
2007,AFG,1758.615,"Gross domestic product per capita, constant prices"
2008,AFG,1781.227,"Gross domestic product per capita, constant prices"
2009,AFG,2093.415,"Gross domestic product per capita, constant prices"
2010,AFG,2207.108,"Gross domestic product per capita, constant prices"
2011,AFG,2278.485,"Gross domestic product per capita, constant prices"
2012,AFG,2513.139,"Gross domestic product per capita, constant prices"
2013,AFG,2569.343,"Gross domestic product per capita, constant prices"
2014,AFG,2555.967,"Gross domestic product per capita, constant prices"
2015,AFG,2506.346,"Gross domestic product per capita, constant prices"
2016,AFG,2492.647,"Gross domestic product per capita, constant prices"
2017,AFG,2515.553,"Gross domestic product per capita, constant prices"
2018,AFG,2392.418,"Gross domestic product per capita, constant prices"
2019,AFG,2439.677,"Gross domestic product per capita, constant prices"
2020,AFG,2328.757,"Gross domestic product per capita, constant prices"
2021,AFG,1945.371,"Gross domestic product per capita, constant prices"
2022,AFG,1793.916,"Gross domestic product per capita, constant prices"
2023,AFG,,"Gross domestic product per capita, constant prices"
2024,AFG,,"Gross domestic product per capita, constant prices"
2025,AFG,,"Gross domestic product per capita, constant prices"
2026,AFG,,"Gross domestic product per capita, constant prices"
2027,AFG,,"Gross domestic product per capita, constant prices"
2028,AFG,,"Gross domestic product per capita, constant prices"
