Country Code,Year,Variable,Value
BIH,1995,Economic Complexity,0.222
BIH,1996,Economic Complexity,0.621
BIH,1997,Economic Complexity,0.401
BIH,1998,Economic Complexity,0.215
BIH,1999,Economic Complexity,0.343
BIH,2000,Economic Complexity,0.25
BIH,2001,Economic Complexity,0.204
BIH,2002,Economic Complexity,0.25
BIH,2003,Economic Complexity,0.339
BIH,2004,Economic Complexity,0.485
BIH,2005,Economic Complexity,0.251
BIH,2006,Economic Complexity,0.391
BIH,2007,Economic Complexity,0.472
BIH,2008,Economic Complexity,0.533
BIH,2009,Economic Complexity,0.495
BIH,2010,Economic Complexity,0.378
BIH,2011,Economic Complexity,0.322
BIH,2012,Economic Complexity,0.497
BIH,2013,Economic Complexity,0.277
BIH,2014,Economic Complexity,0.409
BIH,2015,Economic Complexity,0.213
BIH,2016,Economic Complexity,0.278
BIH,2017,Economic Complexity,0.331
BIH,2018,Economic Complexity,0.443
BIH,2019,Economic Complexity,0.547
BIH,2020,Economic Complexity,0.491
BIH,2021,Economic Complexity,0.558
BIH,2022,Economic Complexity,0.541
BIH,2023,Economic Complexity,0.491
BLR,1995,Economic Complexity,0.478
BLR,1996,Economic Complexity,0.731
BLR,1997,Economic Complexity,0.593
BLR,1998,Economic Complexity,0.941
BLR,1999,Economic Complexity,0.805
BLR,2000,Economic Complexity,0.675
BLR,2001,Economic Complexity,0.87
BLR,2002,Economic Complexity,0.993
BLR,2003,Economic Complexity,0.952
BLR,2004,Economic Complexity,0.994
BLR,2005,Economic Complexity,1.076
BLR,2006,Economic Complexity,1.034
BLR,2007,Economic Complexity,1.116
BLR,2008,Economic Complexity,1.147
BLR,2009,Economic Complexity,0.973
BLR,2010,Economic Complexity,1.003
BLR,2011,Economic Complexity,0.992
BLR,2012,Economic Complexity,0.831
BLR,2013,Economic Complexity,0.903
BLR,2014,Economic Complexity,0.842
BLR,2015,Economic Complexity,0.694
BLR,2016,Economic Complexity,0.721
BLR,2017,Economic Complexity,0.788
BLR,2018,Economic Complexity,0.834
BLR,2019,Economic Complexity,0.803
BLR,2020,Economic Complexity,0.798
BLR,2021,Economic Complexity,0.878
BLR,2022,Economic Complexity,0.673
BLR,2023,Economic Complexity,0.833
BOL,1995,Economic Complexity,-0.565
BOL,1996,Economic Complexity,-0.676
BOL,1997,Economic Complexity,-0.797
BOL,1998,Economic Complexity,-0.547
BOL,1999,Economic Complexity,-0.58
BOL,2000,Economic Complexity,-0.572
BOL,2001,Economic Complexity,-0.831
BOL,2002,Economic Complexity,-0.912
BOL,2003,Economic Complexity,-0.717
BOL,2004,Economic Complexity,-1.047
BOL,2005,Economic Complexity,-0.915
BOL,2006,Economic Complexity,-0.893
BOL,2007,Economic Complexity,-1.074
BOL,2008,Economic Complexity,-0.895
BOL,2009,Economic Complexity,-0.95
BOL,2010,Economic Complexity,-0.893
BOL,2011,Economic Complexity,-0.922
BOL,2012,Economic Complexity,-0.649
BOL,2013,Economic Complexity,-1.055
BOL,2014,Economic Complexity,-1.317
BOL,2015,Economic Complexity,-1.122
BOL,2016,Economic Complexity,-1.137
BOL,2017,Economic Complexity,-1.159
BOL,2018,Economic Complexity,-1.16
BOL,2019,Economic Complexity,-0.964
BOL,2020,Economic Complexity,-0.856
BOL,2021,Economic Complexity,-1.068
BOL,2022,Economic Complexity,-1.097
BOL,2023,Economic Complexity,-0.955
BRA,1995,Economic Complexity,0.727
BRA,1996,Economic Complexity,0.681
BRA,1997,Economic Complexity,0.751
BRA,1998,Economic Complexity,0.738
BRA,1999,Economic Complexity,0.772
BRA,2000,Economic Complexity,0.77
BRA,2001,Economic Complexity,0.656
BRA,2002,Economic Complexity,0.768
BRA,2003,Economic Complexity,0.626
BRA,2004,Economic Complexity,0.471
BRA,2005,Economic Complexity,0.589
BRA,2006,Economic Complexity,0.602
BRA,2007,Economic Complexity,0.604
BRA,2008,Economic Complexity,0.427
BRA,2009,Economic Complexity,0.297
BRA,2010,Economic Complexity,0.352
BRA,2011,Economic Complexity,0.184
BRA,2012,Economic Complexity,0.257
BRA,2013,Economic Complexity,0.137
BRA,2014,Economic Complexity,0.205
BRA,2015,Economic Complexity,0.24
BRA,2016,Economic Complexity,0.283
BRA,2017,Economic Complexity,0.188
BRA,2018,Economic Complexity,0.054
BRA,2019,Economic Complexity,-0.002
BRA,2020,Economic Complexity,-0.01
BRA,2021,Economic Complexity,-0.169
BRA,2022,Economic Complexity,0.017
BRA,2023,Economic Complexity,-0.066
BWA,2000,Economic Complexity,-0.756
BWA,2001,Economic Complexity,-0.696
BWA,2002,Economic Complexity,-0.54
BWA,2003,Economic Complexity,-0.29
BWA,2004,Economic Complexity,-1.288
BWA,2005,Economic Complexity,-0.76
BWA,2006,Economic Complexity,-0.868
BWA,2007,Economic Complexity,-0.898
BWA,2008,Economic Complexity,-0.255
BWA,2009,Economic Complexity,-0.018
BWA,2010,Economic Complexity,-0.503
BWA,2011,Economic Complexity,-0.742
BWA,2012,Economic Complexity,-0.672
BWA,2013,Economic Complexity,-0.835
BWA,2014,Economic Complexity,-0.699
BWA,2015,Economic Complexity,-0.707
BWA,2016,Economic Complexity,-0.697
BWA,2017,Economic Complexity,-0.591
BWA,2018,Economic Complexity,-0.784
BWA,2019,Economic Complexity,-0.685
BWA,2020,Economic Complexity,-0.678
BWA,2021,Economic Complexity,-0.985
BWA,2022,Economic Complexity,-1.057
BWA,2023,Economic Complexity,-0.895
CAN,1995,Economic Complexity,1.073
CAN,1996,Economic Complexity,1.187
CAN,1997,Economic Complexity,1.098
CAN,1998,Economic Complexity,1.045
CAN,1999,Economic Complexity,1.046
CAN,2000,Economic Complexity,1.037
CAN,2001,Economic Complexity,0.946
CAN,2002,Economic Complexity,0.986
CAN,2003,Economic Complexity,0.96
CAN,2004,Economic Complexity,0.905
CAN,2005,Economic Complexity,0.909
CAN,2006,Economic Complexity,0.854
CAN,2007,Economic Complexity,0.744
CAN,2008,Economic Complexity,0.618
CAN,2009,Economic Complexity,0.623
CAN,2010,Economic Complexity,0.801
CAN,2011,Economic Complexity,0.812
CAN,2012,Economic Complexity,0.706
CAN,2013,Economic Complexity,0.676
CAN,2014,Economic Complexity,0.717
CAN,2015,Economic Complexity,0.646
CAN,2016,Economic Complexity,0.646
CAN,2017,Economic Complexity,0.737
CAN,2018,Economic Complexity,0.62
CAN,2019,Economic Complexity,0.637
CAN,2020,Economic Complexity,0.56
CAN,2021,Economic Complexity,0.563
CAN,2022,Economic Complexity,0.551
CAN,2023,Economic Complexity,0.619
CHE,1995,Economic Complexity,2.215
CHE,1996,Economic Complexity,2.175
CHE,1997,Economic Complexity,2.228
CHE,1998,Economic Complexity,2.249
CHE,1999,Economic Complexity,2.236
CHE,2000,Economic Complexity,2.238
CHE,2001,Economic Complexity,2.186
CHE,2002,Economic Complexity,2.235
CHE,2003,Economic Complexity,2.173
CHE,2004,Economic Complexity,2.118
CHE,2005,Economic Complexity,1.98
CHE,2006,Economic Complexity,1.98
CHE,2007,Economic Complexity,2.01
CHE,2008,Economic Complexity,1.993
CHE,2009,Economic Complexity,2.101
CHE,2010,Economic Complexity,2.187
CHE,2011,Economic Complexity,2.248
CHE,2012,Economic Complexity,2.157
CHE,2013,Economic Complexity,2.201
CHE,2014,Economic Complexity,2.242
CHE,2015,Economic Complexity,2.336
CHE,2016,Economic Complexity,2.404
CHE,2017,Economic Complexity,2.288
CHE,2018,Economic Complexity,2.246
CHE,2019,Economic Complexity,2.217
CHE,2020,Economic Complexity,2.297
CHE,2021,Economic Complexity,2.146
CHE,2022,Economic Complexity,2.359
CHE,2023,Economic Complexity,2.373
CHL,1995,Economic Complexity,-0.078
CHL,1996,Economic Complexity,-0.097
CHL,1997,Economic Complexity,0.005
CHL,1998,Economic Complexity,0.027
CHL,1999,Economic Complexity,-0.005
CHL,2000,Economic Complexity,0.047
CHL,2001,Economic Complexity,-0.001
CHL,2002,Economic Complexity,-0.121
CHL,2003,Economic Complexity,-0.04
CHL,2004,Economic Complexity,-0.144
CHL,2005,Economic Complexity,-0.188
CHL,2006,Economic Complexity,-0.169
CHL,2007,Economic Complexity,-0.327
CHL,2008,Economic Complexity,-0.335
CHL,2009,Economic Complexity,-0.386
CHL,2010,Economic Complexity,-0.329
CHL,2011,Economic Complexity,-0.252
CHL,2012,Economic Complexity,-0.356
CHL,2013,Economic Complexity,-0.289
CHL,2014,Economic Complexity,-0.386
CHL,2015,Economic Complexity,-0.366
CHL,2016,Economic Complexity,-0.398
CHL,2017,Economic Complexity,-0.421
CHL,2018,Economic Complexity,-0.358
CHL,2019,Economic Complexity,-0.413
CHL,2020,Economic Complexity,-0.382
CHL,2021,Economic Complexity,-0.502
CHL,2022,Economic Complexity,-0.526
CHL,2023,Economic Complexity,-0.605
CHN,1995,Economic Complexity,0.401
CHN,1996,Economic Complexity,0.472
CHN,1997,Economic Complexity,0.446
CHN,1998,Economic Complexity,0.454
CHN,1999,Economic Complexity,0.488
CHN,2000,Economic Complexity,0.589
CHN,2001,Economic Complexity,0.612
CHN,2002,Economic Complexity,0.629
CHN,2003,Economic Complexity,0.581
CHN,2004,Economic Complexity,0.655
CHN,2005,Economic Complexity,0.723
CHN,2006,Economic Complexity,0.816
CHN,2007,Economic Complexity,0.832
CHN,2008,Economic Complexity,0.917
CHN,2009,Economic Complexity,0.943
CHN,2010,Economic Complexity,0.893
CHN,2011,Economic Complexity,1.045
CHN,2012,Economic Complexity,1.076
CHN,2013,Economic Complexity,1.108
CHN,2014,Economic Complexity,1.184
CHN,2015,Economic Complexity,1.107
CHN,2016,Economic Complexity,1.108
CHN,2017,Economic Complexity,1.159
CHN,2018,Economic Complexity,1.139
CHN,2019,Economic Complexity,1.177
CHN,2020,Economic Complexity,1.194
CHN,2021,Economic Complexity,1.34
CHN,2022,Economic Complexity,1.299
CHN,2023,Economic Complexity,1.323
CIV,1995,Economic Complexity,-0.737
CIV,1996,Economic Complexity,-0.886
CIV,1997,Economic Complexity,-0.679
CIV,1998,Economic Complexity,-0.722
CIV,1999,Economic Complexity,-0.642
CIV,2000,Economic Complexity,-0.595
CIV,2001,Economic Complexity,-0.699
CIV,2002,Economic Complexity,-0.825
CIV,2003,Economic Complexity,-0.754
CIV,2004,Economic Complexity,-0.864
CIV,2005,Economic Complexity,-0.876
CIV,2006,Economic Complexity,-0.848
CIV,2007,Economic Complexity,-0.943
CIV,2008,Economic Complexity,-0.952
CIV,2009,Economic Complexity,-1.054
CIV,2010,Economic Complexity,-0.951
CIV,2011,Economic Complexity,-1.063
CIV,2012,Economic Complexity,-1.014
CIV,2013,Economic Complexity,-0.922
CIV,2014,Economic Complexity,-0.893
CIV,2015,Economic Complexity,-0.747
CIV,2016,Economic Complexity,-0.941
CIV,2017,Economic Complexity,-0.663
