PERIODO,MES,COD_TIPO_OPERACION,COD_REGION_ORIGEN,COD_VIA_TRANSPORTE,COD_PUERTO_EMBARQUE,COD_PAIS_DESTINO,ITEM_SA,FOB_US_DUSLEG,FOBUS_AJUSTADO_IVV,PESO_BRUTO_KG,CANTIDAD_MERCANCIA,COD_UNIDAD_MEDIDA
2025,1,200,2,1,207,333,74031100,"1737220,53","1805868,55",196718,196574,6
2025,1,200,2,1,207,333,26131010,"5549152,68","5549152,68",204500,200000,6
2025,1,200,2,1,207,333,74031100,"4369388,49","4421636,99",501821,501421,6
2025,1,200,2,1,207,333,26131010,"2684512,1","2628771,69",102250,100000,6
2025,1,200,2,1,207,333,28252011,"164977,41","147441,41",18544,18004,6
2025,1,200,2,1,207,333,74031100,"6279213,6","6446772,08",701888,701312,6
2025,1,200,2,1,207,331,26131010,"2819723,09","2819723,09",102250,100000,6
2025,1,200,2,1,207,331,26131010,"1111806,12","1111806,12",40900,40000,6
2025,1,200,2,1,207,331,28369130,"3321736,13","3321736,13",495360,480000,6
2025,1,200,2,1,207,331,26131010,"14386108,46","14393474,67",546474,520000,6
2025,1,200,2,1,207,331,28252011,"9862947,48","9089379,48",1056972,1026204,6
2025,1,200,2,1,207,331,26131010,"7156570,78","7156570,77",271246,260000,6
2025,1,200,2,1,207,331,28252011,"88514,75","88514,75",10300,10000,6
2025,1,200,2,1,207,331,28342100,"20387,2","20387,2",20564,20000,6
2025,1,200,2,1,207,331,26131010,"562640,09","562640,09",20450,20000,6
2025,1,200,2,1,207,331,28342100,"20045,12","20045,12",20564,20000,6
2025,1,200,2,1,207,331,26131010,"7607183,23","7607183,23",294896,280000,6
2025,1,200,2,1,207,330,28369140,"240836,68","240836,68",41240,40000,6
2025,1,200,2,1,207,330,74031100,"4978640,92","4941368,66",553310,552856,6
2025,1,200,2,1,207,330,74031100,"875723,88","903656,14",100415,100335,6
2025,1,200,2,1,207,330,74031100,"17764974,97","17827955,75",2002171,2000663,6
2025,1,200,2,1,207,317,28012000,"1468707,19","1468707,19",22512,21600,6
2025,1,200,2,1,207,317,26131010,"1630101,89","1586164,89",61350,60000,6
