Nitrate_Resource,COMMTYPE,LONGITUD,COMBINACION_CRITICO,CRITICO_3,Iodine_Resource,ESTADO_DEPOSITO,Molybdenum_Reserve,OPERATOR_NAME,ECAP,DDLAT,Rare Earths_Resource,COMUNA,Potassium_Reserve,ANNCAP,Titanium_Resource,OWNER_NAME,CRITICO_1,NOMBRE_DEPOSITO,OrdFranj,PROVINCIA,OPERATOR,FACTYPE,STATUS,OWNER,COUNTRY,ADM1,LOCACC,ELEVACION,LATITUD,YEAR,OTROS_NOMBRES,Lithium_Reserve,LOCDESC,PRIMARY_COMMODITY,DDLONG,Manganese_Resource,MIN_PROD,Copper_Reserve,SOURCEID,FACILITY_TYPE,OrdReg,ISO_CC,ID,MULTI_PROD,FACID_NUM,Iron_Reserve,REGION,Cobalt_Resource,Iron_Resource,FACILITY_NAME,UNITS,COMMODITY,Potassium_Resource,MODELO_DEPOSITO,Silver_Reserve,Zinc_Resource,MULTI_COMM,FACID,Gold_Resource,Boron_Resource,VALOR_DATO,ID_SIA_YACIMIENTO,ID_ATLAS_FAENA,Copper_Resource,Molybdenum_Resource,Lithium_Resource,Iodine_Reserve,SISTEMA_MINERAL,Boron_Reserve,SOURCE,COMB_CRIT_COD,ALL_COMMODITIES_RAW,FRANJA_METALOGENICA,Gold_Reserve,OTROS_CRITICOS,COMBOCAP,ROWID,OBJECTID,GRUPO_MODELO,CRITICO_2,LOCNAME,Nitrate_Reserve,Zinc_Reserve,REFERENCIA,CAPACITY_UNITS,Silver_Resource,COMMENTS,CRITICO_4,CAPACITY,N_COMMODITIES,COMMODITY_LIST_STR,COCHILCO_CU_2024_KMT,COCHILCO_COMPANY,COCHILCO_MO_2024_MT,COCHILCO_AU_2024_KG,COCHILCO_AG_2024_KG,COCHILCO_FE_2024_KMT,COCHILCO_ZN_2024_MT,COCHILCO_PB_2024_MT,COCHILCO_LICO3_2024_MT,COCHILCO_LIOH_2024_MT,COCHILCO_LISO4_2024_MT,COCHILCO_IO_2024_MT,COCHILCO_NO3_2024_MT,COCHILCO_ULEXITE_2024_MT,COCHILCO_BORICACID_2024_MT,COCHILCO_KCL_2024_MT,COCHILCO_SALT_2024_MT,COCHILCO_CUSO4_2024_MT,COCHILCO_LIMESTONE_2024_MT,COCHILCO_GYPSUM_2024_MT,COCHILCO_PUMICITE_2024_MT,COCHILCO_QUARTZ_2024_MT,COCHILCO_SILICASAND_2024_MT,COCHILCO_BAUXCLAY_2024_MT,COCHILCO_KAOLIN_2024_MT,COCHILCO_BENTONITE_2024_MT,COCHILCO_DIATOMITE_2024_MT,COCHILCO_DOLOMITE_2024_MT,COCHILCO_TALC_2024_MT,COCHILCO_PERLITE_2024_MT,COCHILCO_PEAT_2024_MT,COCHILCO_PHOSPHATE_2024_MT,COCHILCO_COQUINA_2024_MT,COCHILCO_WHITITE_2024_MT,COCHILCO_ZEOLITE_2024_MT,USD_VALUE_CU,USD_VALUE_MO,USD_VALUE_AU,USD_VALUE_AG,USD_VALUE_FE,USD_VALUE_ZN,USD_VALUE_PB,USD_VALUE_LICO3,USD_VALUE_LIOH,USD_VALUE_LISO4,USD_VALUE_IO,USD_VALUE_NO3,USD_VALUE_ULEXITE,USD_VALUE_BORICACID,USD_VALUE_KCL,USD_VALUE_SALT,USD_VALUE_CUSO4,USD_VALUE_LIMESTONE,USD_VALUE_COQUINA,USD_VALUE_WHITECACO3,USD_VALUE_GYPSUM,USD_VALUE_PUMICITE,USD_VALUE_QUARTZ,USD_VALUE_SILICASAND,USD_VALUE_BAUXCLAY,USD_VALUE_KAOLIN,USD_VALUE_BENTONITE,USD_VALUE_DIATOMITE,USD_VALUE_DOLOMITE,USD_VALUE_TALC,USD_VALUE_PERLITE,USD_VALUE_PEAT,USD_VALUE_PHOSPHATE,USD_VALUE_ZEOLITE,USD_VALUE_TOTAL,CHAIN_STAGE
,,-71.81699999999995,Cinc,,,Prospecto/Proyecto,,,,,,Palena,,,,,Cinc,Valle Tigre Este,4.0,Palena,,,Prospect/Project,,,,,,-43.686999999999955,,,,,Zinc,,,,,,Prospect/Project,14.0,,240.0,,,,Los Lagos,,,Valle Tigre Este,,,,Skarn,,,,,,,Sin información,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_12,Cinc,Jurásico-Cretácico,,,,,240.0,Skarn,,,,,,,,,,,1,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extraction
,,-69.30638899999997,Plata-Oro,,,Mina paralizada,,,,,,Taltal,,,,,Plata,Vaquillas,7.0,Antofagasta,,,Idle,,,,,,-25.369999999999948,,,,,Silver,,,,,,Mine (idle),3.0,,241.0,,,,Antofagasta,,,Vaquillas,,,,Epitermal de baja sulfuración,,,,,,,Sin información,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_17, MIN_18",Plata-Oro,Paleoceno-Eoceno,,,,,241.0,Epitermales,Oro,,,,,,,,,,2,"Silver, Gold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extraction_idle
,,-70.42499999999995,Cobre-Molibdeno-Plata,Plata,,Prospecto/Proyecto,165920.0,,,,,Putaendo,,,,,Cobre,Vizcachitas,10.0,San Felipe de Aconcagua,,,Prospect/Project,,,,,,-32.40599999999995,,,,,Copper,,,,4392000.0,,Prospect/Project,6.0,,242.0,,,,Valparaíso,,,Vizcachitas,,,,Pórfido de Cu-Mo,1342.0,,,,,,Actualizado,,,12146390.0,462520.0,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_03, MIN_04, MIN_18",Cobre-Molibdeno-Plata,Mioceno-Plioceno,,Renio,,,242.0,Pórfidos,Molibdeno,,,,https://losandescopper.com/projects/reserve-resource-statement/,,3263.6,,,,3,"Copper, Molybdenum, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extraction
,,-69.16399999999999,Oro,,,Prospecto/Proyecto,,,,,,Tierra Amarilla,,,,,Oro,Volcán,9.0,Copiapó,,,Prospect/Project,,,,,,-27.37899999999996,,,,,Gold,,,,,,Prospect/Project,4.0,,243.0,,,,Atacama,,,Volcán,,,,Epitermal de alta sulfuración,,,,,344.0,,Actualizado,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_17,Oro,Mioceno,,,,,243.0,Epitermales,,,,,https://minedocs.com/24/Volcan-PEA-03152023.pdf,,,,,,1,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extraction
,,-70.33299999999997,Cobre-Molibdeno,,,Prospecto/Proyecto,,,,,,San Esteban,,,,,Cobre,West Wall,10.0,Los Andes,,,Prospect/Project,,,,,,-32.567999999999984,,,,,Copper,,,,,,Prospect/Project,6.0,,244.0,,,,Valparaíso,,,West Wall,,,,Pórfido de Cu-Mo,,,,,,,Actualizado,,,10075200.0,160020.0,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_03, MIN_04",Cobre-Molibdeno,Mioceno-Plioceno,,Renio,,,244.0,Pórfidos,Molibdeno,,,,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2024/anglo-american-ore-reserves-and-mineral-resources-report-2024.pdf,,,,,,2,"Copper, Molybdenum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extraction
,,-68.96699999999998,Cobre-Cinc,,,Prospecto/Proyecto,,,,,,Cabo de Hornos,,,,,Cobre,Yendegaia,4.0,Antártica Chilena,,,Prospect/Project,,,,,,-54.91699999999997,,,,,Copper,,,,,,Prospect/Project,16.0,,245.0,,,,Magallanes y de la Antártica Chilena,,,Yendegaia,,,,VMS,,,,,,,Sin información,,,,,,,Volcanogénico,,Sernageomin_2025,"MIN_01, MIN_12",Cobre-Cinc,Jurásico-Cretácico,,,,,245.0,VMS,Cinc,,,,,,,,,,2,"Copper, Zinc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extraction
,,-70.32999999999998,Nitrato-Yodo,,,Mina paralizada,,,,,,Taltal,,,,,Nitrato,Yumbes,11.0,Antofagasta,,,Idle,,,,,,-24.829999999999927,,,,,Nitrate,,,,,,Mine (idle),3.0,,246.0,,,,Antofagasta,,,Yumbes,,,,Campo de nitrato-yodo,,,,,,,Sin información,,,,,,,Sedimentario-Atmosférico,,Sernageomin_2025,"MIN_14, MIN_16",Nitrato-Yodo,Mioceno-Pleistoceno,,,,,246.0,Campo de nitrato-yodo,Yodo,,,,,,,,,,2,"Nitrate, Iodine",,,,,,,,,,,,636.4444444444445,63346.36363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48808606.222222224,79689725.45454545,,,,,,,,,,,,,,,,,,,,,,,128498331.67676768,extraction_idle
,,-69.06699999999995,Cobre,,,Mina en producción,,,,,,Antofagasta,,,,,Cobre,Zaldivar,8.0,Antofagasta,,,Active,,,,,,-24.20799999999997,,,,,Copper,,,,1509300.0,,Mine (active),3.0,,247.0,,,,Antofagasta,,,Zaldivar,,,,Pórfido de Cu-Mo,,,,,,,Actualizado,,,3487360.0,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_01,Cobre,Eoceno-Oligoceno,,,,,247.0,Pórfidos,,,,,https://www.aminerals.cl/docs/default-source/archivo/reportes/annual-report-2024.pdf?sfvrsn=3a957ff4_4,,,,,,1,Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extraction
47360000.0,,-69.637,Nitrato-Yodo,,424664.0,Mina en producción,,SQM Químicos S.A. ,,,,Sierra Gorda,,,,"Sociedad Química y Minera de Chile S.A. (SQM), 100%",Nitrato,Pampa Blanca,11.0,Antofagasta,,,Active,,,,,,-23.159,,,,,Nitrate,,,,,,Mine (active),3.0,,248.0,,,,Antofagasta,,,Pampa Blanca,,,,Campo de nitrato-yodo,,,,,,,Actualizado,,,,,,33320.0,Sedimentario-Atmosférico,,Sernageomin_2025,"MIN_14, MIN_16",Nitrato-Yodo,Mioceno-Pleistoceno,,,,,248.0,Campo de nitrato-yodo,Yodo,,4590000.0,,https://ir.sqm.com/system/files-encrypted/nasdaq_kms/assets/2025/04/08/1-00-07/MEMORIA%20SQM%202024_esp.pdf,,,,,,2,"Nitrate, Iodine",,,,,,,,,,,,636.4444444444445,63346.36363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48808606.222222224,79689725.45454545,,,,,,,,,,,,,,,,,,,,,,,128498331.67676768,extraction
12101000.0,,-69.67,Nitrato-Yodo,,78156.0,Mina en producción,,SQM Químicos S.A. ,,,,Pozo Almonte,,,,"Sociedad Química y Minera de Chile S.A. (SQM), 100%",Nitrato,Nueva Victoria,11.0,Tarapaca,,,Active,,,,,,-20.951,,,,,Nitrate,,,,,,Mine (active),2.0,,249.0,,,,Tarapacá,,,Nueva Victoria,,,,Campo de nitrato-yodo,,,,,,,Actualizado,,,,,,329448.0,Sedimentario-Atmosférico,,Sernageomin_2025,"MIN_14, MIN_16",Nitrato-Yodo,Mioceno-Pleistoceno,,,,,249.0,Campo de nitrato-yodo,Yodo,,49728000.0,,https://ir.sqm.com/system/files-encrypted/nasdaq_kms/assets/2025/04/08/1-00-07/MEMORIA%20SQM%202024_esp.pdf,,,,,,2,"Nitrate, Iodine",,,,,,,,,,,,1415.25,5945.200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108534814.875,7479061.600000001,,,,,,,,,,,,,,,,,,,,,,,116013876.475,extraction
