FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL,VALUE_USD
Patache,port,-20.8,-70.22,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.85,kMT,5.7,7774754.469569999
Barquito,port,-27.07,-70.84,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.46,kMT,5.7,4207514.183532
Coquimbo,port,-29.96,-71.35,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.68,kMT,5.7,6219803.575656
Angamos,port,-23.1,-70.42,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.28,kMT,5.7,2561095.5899759997
Caldera,port,-27.07,-70.82,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,,0.28,kMT,5.7,2561095.5899759997
Coloso,port,-23.76,-70.45,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.02,kMT,0.05,182935.39928399998
Mejillones,port,-23.1,-70.45,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.01,kMT,0.05,91467.69964199999
Patache,port,-20.8,-70.22,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.01,kMT,0.05,91467.69964199999
Barquito,port,-27.07,-70.84,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05,0.0
Coquimbo,port,-29.96,-71.35,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.01,kMT,0.05,91467.69964199999
Angamos,port,-23.1,-70.42,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05,0.0
Caldera,port,-27.07,-70.82,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,,0.0,kMT,0.05,0.0
Coloso,port,-23.76,-70.45,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.01,kMT,0.03,91467.69964199999
Mejillones,port,-23.1,-70.45,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.01,kMT,0.03,91467.69964199999
Patache,port,-20.8,-70.22,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03,0.0
Barquito,port,-27.07,-70.84,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03,0.0
Coquimbo,port,-29.96,-71.35,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03,0.0
Angamos,port,-23.1,-70.42,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03,0.0
Caldera,port,-27.07,-70.82,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,,0.0,kMT,0.03,0.0
Coloso,port,-23.76,-70.45,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,1.68,kMT,4.79,15366573.539855998
Mejillones,port,-23.1,-70.45,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.96,kMT,4.79,8780899.165631998
Patache,port,-20.8,-70.22,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.72,kMT,4.79,6585674.374223999
Barquito,port,-27.07,-70.84,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.38,kMT,4.79,3475772.5863959994
Coquimbo,port,-29.96,-71.35,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.58,kMT,4.79,5305126.579235999
Angamos,port,-23.1,-70.42,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.24,kMT,4.79,2195224.7914079996
Caldera,port,-27.07,-70.82,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,,0.24,kMT,4.79,2195224.7914079996
Coloso,port,-23.76,-70.45,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.01,kMT,0.02,91467.69964199999
Mejillones,port,-23.1,-70.45,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Patache,port,-20.8,-70.22,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Barquito,port,-27.07,-70.84,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Coquimbo,port,-29.96,-71.35,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Angamos,port,-23.1,-70.42,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Caldera,port,-27.07,-70.82,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Coloso,port,-23.76,-70.45,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,2.86,kMT,8.17,26159762.097611997
Mejillones,port,-23.1,-70.45,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,1.63,kMT,8.17,14909235.041645998
Patache,port,-20.8,-70.22,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,1.22,kMT,8.17,11159059.356323998
Barquito,port,-27.07,-70.84,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.65,kMT,8.17,5945400.476729999
Coquimbo,port,-29.96,-71.35,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.98,kMT,8.17,8963834.564916
Angamos,port,-23.1,-70.42,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.41,kMT,8.17,3750175.6853219997
Caldera,port,-27.07,-70.82,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.41,kMT,8.17,3750175.6853219997
Coloso,port,-23.76,-70.45,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,2.14,kMT,6.12,19574087.723387998
Mejillones,port,-23.1,-70.45,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,1.22,kMT,6.12,11159059.356323998
Patache,port,-20.8,-70.22,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.92,kMT,6.12,8415028.367064
Barquito,port,-27.07,-70.84,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.49,kMT,6.12,4481917.282458
Coquimbo,port,-29.96,-71.35,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.73,kMT,6.12,6677142.0738659995
Angamos,port,-23.1,-70.42,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.31,kMT,6.12,2835498.6889019995
Caldera,port,-27.07,-70.82,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.31,kMT,6.12,2835498.6889019995
Coloso,port,-23.76,-70.45,China,country,31.23,121.47,port_to_country,concentrate,Copper,,872.05,kMT,2491.58,7976440747.280609
Mejillones,port,-23.1,-70.45,China,country,31.23,121.47,port_to_country,concentrate,Copper,,498.32,kMT,2491.58,4558018408.560143
Patache,port,-20.8,-70.22,China,country,31.23,121.47,port_to_country,concentrate,Copper,,373.74,kMT,2491.58,3418513806.4201074
Barquito,port,-27.07,-70.84,China,country,31.23,121.47,port_to_country,concentrate,Copper,,199.33,kMT,2491.58,1823225656.9639857
Coquimbo,port,-29.96,-71.35,China,country,31.23,121.47,port_to_country,concentrate,Copper,,298.99,kMT,2491.58,2734792751.5961576
Angamos,port,-23.1,-70.42,China,country,31.23,121.47,port_to_country,concentrate,Copper,,124.58,kMT,2491.58,1139504602.1400359
Caldera,port,-27.07,-70.82,China,country,31.23,121.47,port_to_country,concentrate,Copper,,124.58,kMT,2491.58,1139504602.1400359
Coloso,port,-23.76,-70.45,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,64.48,kMT,184.23,589783727.291616
Mejillones,port,-23.1,-70.45,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,36.85,kMT,184.23,337058473.18077
Patache,port,-20.8,-70.22,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,27.63,kMT,184.23,252725254.11084598
Barquito,port,-27.07,-70.84,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,14.74,kMT,184.23,134823389.272308
Coquimbo,port,-29.96,-71.35,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,22.11,kMT,184.23,202235083.908462
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,9.21,kMT,184.23,84241751.370282
Caldera,port,-27.07,-70.82,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,9.21,kMT,184.23,84241751.370282
Coloso,port,-23.76,-70.45,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,12.17,kMT,34.78,111316190.46431398
Mejillones,port,-23.1,-70.45,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,6.96,kMT,34.78,63661518.950831994
Patache,port,-20.8,-70.22,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,5.22,kMT,34.78,47746139.21312399
Barquito,port,-27.07,-70.84,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,2.78,kMT,34.78,25428020.500475995
Coquimbo,port,-29.96,-71.35,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,4.17,kMT,34.78,38142030.750714
Angamos,port,-23.1,-70.42,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,1.74,kMT,34.78,15915379.737707999
