MINE_NAME,MINE_IDX,MINE_TYPE,MINE_STATUS,MINE_LAT,MINE_LON,MINE_REGION,MINE_OPERATOR,PLANT_NAME,PLANT_IDX,PLANT_TYPE,PLANT_STATUS,PLANT_LAT,PLANT_LON,PLANT_OPERATOR,PLANT_OWNER,PLANT_CAPACITY,PLANT_CAPACITY_UNITS,SHARED_COMMODITIES,DISTANCE_KM,PRODUCT_FORM
Amos,5.0,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,El Soldado SX-EW plant,314.0,SX-EW Plant,Active,-32.6593,-71.1448,Anglo American Sur S.A. ,"Anglo American plc, 50.1%, Mitsubishi Corp., 20.4%, Corporación Nacional del Cobre, 20%, and Mitsui & Co., Ltd., 9.5% ",50,tmt,Copper,89.2,cathode_sxew
Amos,5.0,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,Tres Valles SX-EW plant,451.0,SX-EW Plant,Active,-31.7364,-71.0165,Vecchiola SA,Vecchiola SA,,,Copper,90.2,cathode_sxew
Amos,5.0,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,Los Bronces (Tortolas) SX-EW plant (cathodes),342.0,SX-EW Plant,Active,-33.1409,-70.7086,Anglo American Sur S.A. ,"Anglo American plc, 50.1%, Mitsubishi Corp., 20.4%, Corporación Nacional del Cobre, 20%, and Mitsui & Co., Ltd., 9.5% ",490,tmt,Copper,102.8,cathode_sxew
Amos,5.0,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,Tortolas molybdenum flotation plant,450.0,Concentrator,Active,-33.1409,-70.7086,Anglo American Sur S.A. ,"Anglo American plc, 50.1%, Mitsubishi Corp., 20.4%, Corporación Nacional del Cobre, 20%, and Mitsui & Co., Ltd., 9.5% ","3,000",mt,Molybdenum,102.8,concentrate
Amos,5.0,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,Las Ventanas refinery and smelter,340.0,Smelter,Active,-32.7618,-71.4812,Corporación Nacional del Cobre (CODELCO),"Government, 100%",402,tmt,Copper,122.4,blister
Andina,8.0,Mine (active),Active,-33.148999999999944,-70.25399999999996,Valparaíso,Corporación Nacional del Cobre (CODELCO),Los Bronces (Tortolas) SX-EW plant (cathodes),342.0,SX-EW Plant,Active,-33.1409,-70.7086,Anglo American Sur S.A. ,"Anglo American plc, 50.1%, Mitsubishi Corp., 20.4%, Corporación Nacional del Cobre, 20%, and Mitsui & Co., Ltd., 9.5% ",490,tmt,Copper,42.3,cathode_sxew
Andina,8.0,Mine (active),Active,-33.148999999999944,-70.25399999999996,Valparaíso,Corporación Nacional del Cobre (CODELCO),Tortolas molybdenum flotation plant,450.0,Concentrator,Active,-33.1409,-70.7086,Anglo American Sur S.A. ,"Anglo American plc, 50.1%, Mitsubishi Corp., 20.4%, Corporación Nacional del Cobre, 20%, and Mitsui & Co., Ltd., 9.5% ","3,000",mt,Molybdenum,42.3,concentrate
Andina,8.0,Mine (active),Active,-33.148999999999944,-70.25399999999996,Valparaíso,Corporación Nacional del Cobre (CODELCO),Nos plant,368.0,Processing Plant,Active,-33.6065,-70.7441,Molibdenos y Metales S.A. (MOLYMET),"Private, 100%","30,000",kg,Rhenium,68.3,concentrate
Andina,8.0,Mine (active),Active,-33.148999999999944,-70.25399999999996,Valparaíso,Corporación Nacional del Cobre (CODELCO),Chagres smelter (anodes and blister),284.0,Smelter,Active,-32.8047,-70.9554,Empresa Nacional de Minería (ENAMI),"Government, 100%",175,tmt,Copper,75.8,blister
Andina,8.0,Mine (active),Active,-33.148999999999944,-70.25399999999996,Valparaíso,Corporación Nacional del Cobre (CODELCO),Plant at Cabildo,374.0,Processing Plant,Active,-32.5838,-70.8762,Compañía Minera Cerro Negro,Compañía Minera Cerro Negro,200,mt,Copper,85.6,concentrate
Andina,8.0,Mine (active),Active,-33.148999999999944,-70.25399999999996,Valparaíso,Corporación Nacional del Cobre (CODELCO),El Soldado SX-EW plant,314.0,SX-EW Plant,Active,-32.6593,-71.1448,Anglo American Sur S.A. ,"Anglo American plc, 50.1%, Mitsubishi Corp., 20.4%, Corporación Nacional del Cobre, 20%, and Mitsui & Co., Ltd., 9.5% ",50,tmt,Copper,99.4,cathode_sxew
Andina,8.0,Mine (active),Active,-33.148999999999944,-70.25399999999996,Valparaíso,Corporación Nacional del Cobre (CODELCO),El Teniente plant,315.0,Processing Plant,Active,-34.0886,-70.4555,Corporación Nacional del Cobre (CODELCO),"Government, 100%","6,500",mt,Molybdenum,106.1,concentrate
Andina,8.0,Mine (active),Active,-33.148999999999944,-70.25399999999996,Valparaíso,Corporación Nacional del Cobre (CODELCO),"Caletones smelter (anodes). refinery (fire-refined ingots), and SX-EW plant",278.0,Smelter,Active,-34.1046,-70.4505,Corporación Nacional del Cobre (CODELCO),"Government, 100%",430,tmt,Copper,107.8,cathode_sxew
Andina,8.0,Mine (active),Active,-33.148999999999944,-70.25399999999996,Valparaíso,Corporación Nacional del Cobre (CODELCO),Las Ventanas refinery and smelter,340.0,Smelter,Active,-32.7618,-71.4812,Corporación Nacional del Cobre (CODELCO),"Government, 100%",402,tmt,Copper,122.3,blister
Andina,8.0,Mine (active),Active,-33.148999999999944,-70.25399999999996,Valparaíso,Corporación Nacional del Cobre (CODELCO),Facilities near Rancagua,323.0,Processing Plant,Active,-34.2383,-70.685,Minera Valle Central S.A. ,"Amerigo Resources Ltd., 100%",30,tmt,Copper,127.5,concentrate
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Antucoya SX-EW plant,271.0,SX-EW Plant,Active,-22.6298,-69.8832,Antofagasta plc,"Antofagasta plc, 70%, Marubeni Corp., 30%",,,Copper,0.9,cathode_sxew
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Michilla SX-EW/sulfide-leaching plant,359.0,SX-EW Plant,Active,-22.6791,-70.1883,Minera Michilla S.A. ,"Antofagasta plc, 74.2%, and other private Chilean investors, 25.8%",45,tmt,Copper,31.7,cathode_sxew
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Mantos de la Luna SX-EW plant,350.0,SX-EW Plant,Active,-22.3851,-70.1782,Compania Mantos de la Luna,"Izquierdo Menendez Group, 100%",,,Copper,41.4,cathode_sxew
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Spence SX-EW plant,444.0,SX-EW Plant,Active,-22.8015,-69.2818,Minera Spence S.A. ,"BHP Billiton plc, 100%",200,tmt,Copper,64.3,cathode_sxew
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Plant near Tocopilla,430.0,Processing Plant,Active,-21.9459,-69.8715,Minera Capacho Viejo Ltda. ,Minera Capacho Viejo Ltda. ,"5,000",mt,Copper,77.0,concentrate
