FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM
Andina,mine,-33.148999999999944,-70.25399999999996,Tortolas molybdenum flotation plant,mo_plant,-33.1409,-70.7086,mine_to_mo_plant,mo_concentrate,Molybdenum,42.3
Caserones,mine,-28.16599999999994,-69.54099999999994,Los Pelambres plant,mo_plant,-31.8134,-70.5823,mine_to_mo_plant,mo_concentrate,Molybdenum,417.8
Centinela,mine,-22.987999999999943,-69.07599999999996,Molybdenum plant,mo_plant,-20.9761,-68.6272,mine_to_mo_plant,mo_concentrate,Molybdenum,228.4
Chuquicamata,mine,-22.299999999999955,-68.89499999999998,Molybdenum plant,mo_plant,-20.9761,-68.6272,mine_to_mo_plant,mo_concentrate,Molybdenum,149.8
Collahuasi,mine,-20.972999999999956,-68.70299999999997,Molybdenum plant,mo_plant,-20.9761,-68.6272,mine_to_mo_plant,mo_concentrate,Molybdenum,7.9
El Teniente,mine,-34.091999999999985,-70.33799999999997,El Teniente plant,mo_plant,-34.0886,-70.4555,mine_to_mo_plant,mo_concentrate,Molybdenum,10.8
Los Bronces,mine,-33.150999999999954,-70.28499999999997,Tortolas molybdenum flotation plant,mo_plant,-33.1409,-70.7086,mine_to_mo_plant,mo_concentrate,Molybdenum,39.5
Los Pelambres,mine,-31.714999999999975,-70.49899999999997,Los Pelambres plant,mo_plant,-31.8134,-70.5823,mine_to_mo_plant,mo_concentrate,Molybdenum,13.5
Quebrada Blanca,mine,-21.006999999999948,-68.81199999999995,Molybdenum plant,mo_plant,-20.9761,-68.6272,mine_to_mo_plant,mo_concentrate,Molybdenum,19.5
Radomiro Tomic,mine,-22.226999999999975,-68.88299999999998,Molybdenum plant,mo_plant,-20.9761,-68.6272,mine_to_mo_plant,mo_concentrate,Molybdenum,141.6
Sierra Gorda,mine,-22.84699999999998,-69.33899999999994,Molybdenum plant,mo_plant,-20.9761,-68.6272,mine_to_mo_plant,mo_concentrate,Molybdenum,220.6
Spence,mine,-22.785999999999945,-69.24399999999997,Molybdenum plant,mo_plant,-20.9761,-68.6272,mine_to_mo_plant,mo_concentrate,Molybdenum,211.1
Alhué,mine,-34.00799999999998,-70.97799999999995,El Teniente plant,smelter,-34.0886,-70.4555,mine_to_smelter,gold_refined,Gold,49.0
Alhué,mine,-34.00799999999998,-70.97799999999995,El Teniente plant,smelter,-34.0886,-70.4555,mine_to_smelter,silver_refined,Silver,49.0
Alturas,mine,-30.017299999999977,-69.93159999999995,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,273.5
Amancaya,mine,-25.57899999999995,-69.81299999999999,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,81.2
Amancaya,mine,-25.57899999999995,-69.81299999999999,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,silver_refined,Silver,81.2
Andacollo Oro,mine,-30.23121999999995,-71.10096999999996,Las Ventanas refinery and smelter,smelter,-32.7618,-71.4812,mine_to_smelter,gold_refined,Gold,283.7
Cachinal,mine,-24.964999999999975,-69.54833299999996,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,146.6
Cachinal,mine,-24.964999999999975,-69.54833299999996,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,silver_refined,Silver,146.6
Cachorro,mine,-22.975999999999942,-69.74499999999995,Altonorte smelter,smelter,-23.8247,-70.3178,mine_to_smelter,silver_refined,Silver,111.0
Can Can,mine,-26.802221999999972,-69.26305599999995,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,66.6
Candelaria,mine,-27.51699999999994,-70.29099999999994,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,7.5
Candelaria,mine,-27.51699999999994,-70.29099999999994,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,silver_refined,Silver,7.5
Carmen de Andacollo,mine,-30.249999999999943,-71.09999999999997,Las Ventanas refinery and smelter,smelter,-32.7618,-71.4812,mine_to_smelter,gold_refined,Gold,281.6
